timestamp,side,ticker,quantity,price,equity_after,reason
2026-06-20T11:51:10.492604,sell,DOGEUSD,144771.8238,0.0836,0.00,momentum
2026-06-20T11:51:10.813974,sell,DOTUSD,12584.1762,0.9602,0.00,momentum
2026-06-20T11:51:11.175939,sell,UNIUSD,3984.0032,3.0150,0.00,momentum
2026-06-20T11:52:08.668892,sell,BTC/USD,0.1192,63681.2000,0.00,momentum
2026-06-20T11:52:09.378055,buy,DOT/USD,12323.6457,0.9691,0.00,momentum
2026-06-20T11:52:10.170467,buy,DOGE/USD,142041.2804,0.0841,0.00,momentum
2026-06-20T11:52:10.880501,buy,ADA/USD,72916.0387,0.1638,0.00,momentum
2026-06-20T11:52:11.607399,buy,BCH/USD,59.8090,199.6830,0.00,momentum
2026-06-20T11:52:12.975096,buy,UNI/USD,3907.1041,3.0567,0.00,momentum
2026-06-20T11:52:16.730142,buy,AVAX/USD,1980.2429,6.0310,0.00,momentum
2026-06-20T11:53:32.538759,sell,ADAUSD,72733.7486,0.1634,0.00,momentum
2026-06-20T11:53:32.971282,sell,AVAXUSD,1975.6301,5.9947,0.00,momentum
2026-06-20T11:53:33.414508,sell,BCHUSD,59.6595,198.2000,0.00,momentum
2026-06-20T11:53:33.734375,sell,DOGEUSD,141686.1772,0.0838,0.00,momentum
2026-06-20T11:53:34.902693,sell,DOTUSD,12298.0317,0.9602,0.00,momentum
2026-06-20T11:53:35.201370,sell,UNIUSD,3897.3363,3.0150,0.00,momentum
2026-06-20T11:54:12.453274,buy,DOT/USD,12086.1656,0.9691,0.00,momentum
2026-06-20T11:54:13.027141,buy,DOGE/USD,139088.1871,0.0842,0.00,momentum
2026-06-20T11:54:13.666978,buy,ADA/USD,71465.4454,0.1639,0.00,momentum
2026-06-20T11:54:14.503769,buy,BCH/USD,58.5074,200.2000,0.00,momentum
2026-06-20T11:54:15.206629,buy,UNI/USD,3824.2769,3.0629,0.00,momentum
2026-06-20T11:54:15.871537,buy,AVAX/USD,1939.5904,6.0390,0.00,momentum
2026-06-20T11:55:48.382518,sell,ADAUSD,71286.7818,0.1634,0.00,momentum
2026-06-20T11:55:48.718849,sell,AVAXUSD,1935.0343,5.9947,0.00,momentum
2026-06-20T11:55:49.064787,sell,BCHUSD,58.3611,198.2000,0.00,momentum
2026-06-20T11:55:49.405818,sell,DOGEUSD,138740.4666,0.0838,0.00,momentum
2026-06-20T11:55:49.727698,sell,DOTUSD,12065.6585,0.9602,0.00,momentum
2026-06-20T11:55:50.057398,sell,UNIUSD,3814.7162,3.0150,0.00,momentum
2026-06-20T11:56:08.053568,buy,DOT/USD,11856.6259,0.9673,0.00,momentum
2026-06-20T11:56:10.014352,buy,DOGE/USD,136258.6492,0.0842,0.00,momentum
2026-06-20T11:56:10.828486,buy,ADA/USD,70017.6465,0.1638,0.00,momentum
2026-06-20T11:56:11.524095,buy,BCH/USD,57.3445,200.0000,0.00,momentum
2026-06-20T11:56:12.411291,buy,UNI/USD,3751.6816,3.0570,0.00,momentum
2026-06-20T11:56:13.094550,buy,BTC/USD,0.1802,63651.1270,0.00,momentum
2026-06-20T11:57:05.738443,sell,BTC/USD,0.1797,63653.1400,0.00,momentum
2026-06-20T11:57:06.437332,buy,AVAX/USD,1213.6080,6.0347,0.00,momentum
2026-06-20T11:58:02.917827,sell,ADAUSD,69842.6024,0.1634,0.00,momentum
2026-06-20T11:58:03.252204,sell,AVAXUSD,1210.5740,5.9947,0.00,momentum
2026-06-20T11:58:03.579675,sell,BCHUSD,57.2011,198.2000,0.00,momentum
2026-06-20T11:58:03.863701,sell,DOGEUSD,135918.0026,0.0838,0.00,momentum
2026-06-20T11:58:04.139913,sell,DOTUSD,11836.4699,0.9602,0.00,momentum
2026-06-20T11:58:04.399865,sell,UNIUSD,3743.4777,3.0150,0.00,momentum
2026-06-20T11:59:05.409554,buy,DOT/USD,11636.9343,0.9683,0.00,momentum
2026-06-20T11:59:06.085034,buy,DOGE/USD,133808.8529,0.0842,0.00,momentum
2026-06-20T11:59:06.738385,buy,ADA/USD,68758.3125,0.1639,0.00,momentum
2026-06-20T11:59:07.474179,buy,BCH/USD,56.3171,200.0820,0.00,momentum
2026-06-20T11:59:08.318277,buy,UNI/USD,3683.2097,3.0593,0.00,momentum
2026-06-20T11:59:09.063757,buy,AVAX/USD,1867.2086,6.0347,0.00,momentum
2026-06-20T12:00:17.459688,sell,ADAUSD,68586.4167,0.1634,0.00,momentum
2026-06-20T12:00:18.037698,sell,AVAXUSD,1862.7380,5.9947,0.00,momentum
2026-06-20T12:00:18.430513,sell,BCHUSD,56.1763,198.2000,0.00,momentum
2026-06-20T12:00:18.888427,sell,DOGEUSD,133474.3308,0.0838,0.00,momentum
2026-06-20T12:00:19.307045,sell,DOTUSD,11614.7548,0.9602,0.00,momentum
2026-06-20T12:00:19.715158,sell,UNIUSD,3674.0017,3.0150,0.00,momentum
2026-06-20T12:01:20.091991,buy,DOT/USD,11415.2609,0.9672,0.00,momentum
2026-06-20T12:01:20.731697,buy,DOGE/USD,131147.2325,0.0842,0.00,momentum
2026-06-20T12:01:21.410772,buy,ADA/USD,67459.4191,0.1637,0.00,momentum
2026-06-20T12:01:22.095836,buy,BCH/USD,55.2064,200.0000,0.00,momentum
2026-06-20T12:01:22.829574,buy,UNI/USD,3616.4179,3.0531,0.00,momentum
2026-06-20T12:01:23.451503,buy,BTC/USD,0.1735,63653.0000,0.00,momentum
2026-06-20T12:02:06.092108,sell,BTC/USD,0.1731,63679.1400,0.00,momentum
2026-06-20T12:02:06.892553,buy,AVAX/USD,1168.2512,6.0270,0.00,momentum
2026-06-20T12:02:42.467185,sell,ADAUSD,67290.7706,0.1634,0.00,momentum
2026-06-20T12:02:42.775068,sell,AVAXUSD,1165.6517,5.9947,0.00,momentum
2026-06-20T12:02:43.366436,sell,BCHUSD,55.0684,198.2000,0.00,momentum
2026-06-20T12:02:43.775945,sell,DOGEUSD,130819.3644,0.0838,0.00,momentum
2026-06-20T12:02:44.174349,sell,DOTUSD,11395.7670,0.9602,0.00,momentum
2026-06-20T12:02:44.583647,sell,UNIUSD,3608.4381,3.0150,0.00,momentum
2026-06-20T12:03:11.151310,buy,DOT/USD,11215.4258,0.9667,0.00,momentum
2026-06-20T12:03:11.750089,buy,DOGE/USD,128835.4545,0.0842,0.00,momentum
2026-06-20T12:03:12.556731,buy,ADA/USD,66312.9457,0.1635,0.00,momentum
2026-06-20T12:03:13.215284,buy,BCH/USD,54.1263,200.3000,0.00,momentum
2026-06-20T12:03:14.006820,buy,UNI/USD,3555.7571,3.0490,0.00,momentum
2026-06-20T12:03:14.736320,buy,AVAX/USD,1799.9843,6.0231,0.00,momentum
2026-06-20T12:05:01.073523,sell,ADAUSD,66147.1633,0.1634,0.00,momentum
2026-06-20T12:05:01.456148,sell,AVAXUSD,1795.6202,5.9947,0.00,momentum
2026-06-20T12:05:01.728735,sell,BCHUSD,53.9910,198.2000,0.00,momentum
2026-06-20T12:05:02.061049,sell,DOGEUSD,128513.3659,0.0838,0.00,momentum
2026-06-20T12:05:02.388054,sell,DOTUSD,11196.2274,0.9602,0.00,momentum
2026-06-20T12:05:04.382502,sell,UNIUSD,3547.8666,3.0150,0.00,momentum
2026-06-20T12:06:06.816593,buy,DOT/USD,10384.8670,0.9662,0.00,momentum
2026-06-20T12:06:12.527496,buy,DOGE/USD,143716.5136,0.0841,0.00,momentum
2026-06-20T12:06:13.949874,buy,ADA/USD,40635.2083,0.1636,0.00,momentum
2026-06-20T12:06:14.716810,buy,BCH/USD,29.0276,200.2200,0.00,momentum
2026-06-20T12:06:15.545642,buy,UNI/USD,1314.1956,3.0470,0.00,momentum
2026-06-20T12:06:16.537924,buy,AVAX/USD,1126.7673,6.0072,0.00,momentum
2026-06-20T12:07:28.263803,sell,ADAUSD,40533.6203,0.1634,0.00,momentum
2026-06-20T12:07:28.732569,sell,AVAXUSD,1123.9504,5.9947,0.00,momentum
2026-06-20T12:07:29.227886,sell,BCHUSD,28.9550,198.2000,0.00,momentum
2026-06-20T12:07:29.530855,sell,DOGEUSD,143357.2223,0.0838,0.00,momentum
2026-06-20T12:07:29.850674,sell,DOTUSD,10366.9063,0.9602,0.00,momentum
2026-06-20T12:07:30.195055,sell,UNIUSD,1310.9101,3.0150,0.00,momentum
2026-06-20T12:08:02.178830,buy,DOT/USD,10274.2383,0.9656,0.00,momentum
2026-06-20T12:08:02.801844,buy,DOGE/USD,142074.7920,0.0841,0.00,momentum
2026-06-20T12:08:03.401977,buy,ADA/USD,40158.2208,0.1636,0.00,momentum
2026-06-20T12:08:04.108361,buy,BCH/USD,28.6777,200.3040,0.00,momentum
2026-06-20T12:08:04.723554,buy,UNI/USD,1299.9612,3.0440,0.00,momentum
2026-06-20T12:08:05.379310,buy,AVAX/USD,1116.6088,6.0027,0.00,momentum
2026-06-20T12:09:45.567381,sell,ADAUSD,40057.8252,0.1634,0.00,momentum
2026-06-20T12:09:45.865071,sell,AVAXUSD,1113.8173,5.9947,0.00,momentum
2026-06-20T12:09:46.186600,sell,BCHUSD,28.6060,198.2000,0.00,momentum
2026-06-20T12:09:47.075208,sell,DOGEUSD,141719.6050,0.0838,0.00,momentum
2026-06-20T12:09:47.419518,sell,DOTUSD,10256.4544,0.9602,0.00,momentum
2026-06-20T12:09:47.726548,sell,UNIUSD,1296.7113,3.0150,0.00,momentum
2026-06-20T12:10:13.437422,buy,DOT/USD,10157.0456,0.9656,0.00,momentum
2026-06-20T12:10:14.183511,buy,DOGE/USD,140402.0533,0.0841,0.00,momentum
2026-06-20T12:10:14.807874,buy,ADA/USD,39679.0132,0.1636,0.00,momentum
2026-06-20T12:10:15.629024,buy,BCH/USD,28.3614,200.2000,0.00,momentum
2026-06-20T12:10:16.273794,buy,UNI/USD,1284.1339,3.0449,0.00,momentum
2026-06-20T12:10:17.020371,buy,AVAX/USD,1103.3162,6.0028,0.00,momentum
2026-06-20T12:12:13.377918,sell,ADAUSD,39579.8157,0.1634,0.00,momentum
2026-06-20T12:12:13.855642,sell,AVAXUSD,1100.5579,5.9947,0.00,momentum
2026-06-20T12:12:14.158918,sell,BCHUSD,28.2905,198.2000,0.00,momentum
2026-06-20T12:12:14.592100,sell,DOGEUSD,140051.0482,0.0838,0.00,momentum
2026-06-20T12:12:14.978534,sell,DOTUSD,10139.4467,0.9602,0.00,momentum
2026-06-20T12:12:15.368749,sell,UNIUSD,1280.9236,3.0150,0.00,momentum
2026-06-20T12:13:09.715037,buy,DOT/USD,10022.2473,0.9664,0.00,momentum
2026-06-20T12:13:10.605175,buy,DOGE/USD,138728.5234,0.0841,0.00,momentum
2026-06-20T12:13:11.344808,buy,ADA/USD,39199.5885,0.1637,0.00,momentum
2026-06-20T12:13:11.982878,buy,BCH/USD,28.0485,200.0820,0.00,momentum
2026-06-20T12:13:12.725403,buy,UNI/USD,1268.6337,3.0472,0.00,momentum
2026-06-20T12:13:13.661870,buy,AVAX/USD,1089.8178,6.0030,0.00,momentum
2026-06-20T12:14:32.507214,sell,ADAUSD,39101.5895,0.1634,0.00,momentum
2026-06-20T12:14:32.887850,sell,AVAXUSD,1087.0933,5.9947,0.00,momentum
2026-06-20T12:14:33.230892,sell,BCHUSD,27.9784,198.2000,0.00,momentum
2026-06-20T12:14:33.555657,sell,DOGEUSD,138381.7021,0.0838,0.00,momentum
2026-06-20T12:14:33.949655,sell,DOTUSD,10001.0109,0.9602,0.00,momentum
2026-06-20T12:14:34.330357,sell,UNIUSD,1265.4621,3.0150,0.00,momentum
2026-06-20T12:15:11.658261,buy,DOT/USD,9918.8952,0.9664,0.00,momentum
2026-06-20T12:15:12.223740,buy,DOGE/USD,137297.9177,0.0841,0.00,momentum
2026-06-20T12:15:12.978295,buy,ADA/USD,38755.4546,0.1638,0.00,momentum
2026-06-20T12:15:13.639193,buy,BCH/USD,27.7546,200.1000,0.00,momentum
2026-06-20T12:15:14.325469,buy,UNI/USD,1255.7730,3.0472,0.00,momentum
2026-06-20T12:15:14.975772,buy,AVAX/USD,1077.2502,6.0054,0.00,momentum
2026-06-20T12:16:47.722398,sell,ADAUSD,38658.5660,0.1634,0.00,momentum
2026-06-20T12:16:48.200665,sell,AVAXUSD,1074.5571,5.9947,0.00,momentum
2026-06-20T12:16:48.500438,sell,BCHUSD,27.6852,198.2000,0.00,momentum
2026-06-20T12:16:48.986360,sell,DOGEUSD,136954.6729,0.0838,0.00,momentum
2026-06-20T12:16:49.320493,sell,DOTUSD,9901.6530,0.9602,0.00,momentum
2026-06-20T12:16:49.751394,sell,UNIUSD,1252.6336,3.0150,0.00,momentum
2026-06-20T12:17:11.467059,buy,DOT/USD,9803.4246,0.9664,0.00,momentum
2026-06-20T12:17:12.134392,buy,DOGE/USD,135465.3251,0.0842,0.00,momentum
2026-06-20T12:17:12.917996,buy,ADA/USD,38304.2840,0.1638,0.00,momentum
2026-06-20T12:17:13.685099,buy,BCH/USD,27.4315,200.1000,0.00,momentum
2026-06-20T12:17:14.396514,buy,UNI/USD,1241.1794,3.0451,0.00,momentum
2026-06-20T12:17:15.030284,buy,AVAX/USD,1060.8789,6.0130,0.00,momentum
2026-06-20T12:19:02.366428,sell,ADAUSD,38208.5233,0.1634,0.00,momentum
2026-06-20T12:19:02.731525,sell,AVAXUSD,1058.2267,5.9947,0.00,momentum
2026-06-20T12:19:03.140901,sell,BCHUSD,27.3629,198.2000,0.00,momentum
2026-06-20T12:19:03.617465,sell,DOGEUSD,135126.6618,0.0838,0.00,momentum
2026-06-20T12:19:03.937974,sell,DOTUSD,9786.3395,0.9602,0.00,momentum
2026-06-20T12:19:04.254425,sell,UNIUSD,1238.0765,3.0150,0.00,momentum
2026-06-20T12:20:05.243267,buy,DOT/USD,9694.4980,0.9662,0.00,momentum
2026-06-20T12:20:05.852125,buy,DOGE/USD,133341.8252,0.0843,0.00,momentum
2026-06-20T12:20:06.501209,buy,ADA/USD,37848.3164,0.1638,0.00,momentum
2026-06-20T12:20:07.261801,buy,BCH/USD,27.0790,200.3000,0.00,momentum
2026-06-20T12:20:07.935235,buy,UNI/USD,1227.1819,3.0424,0.00,momentum
2026-06-20T12:20:08.545230,buy,AVAX/USD,1050.3212,6.0100,0.00,momentum
2026-06-20T12:23:52.329922,sell,ADAUSD,37753.6956,0.1634,0.00,momentum
